订单号,物料号码,订单数量,交期,备注,长度
418477,3246515,7700,2018/11/9,,
418006,1413036,44600,2018/11/9,,
764486,1413036,30000,2018/11/9,,
418575,3246515,8400,2018/11/9,,
418343,3213142,580,2018/11/9,,
417826,3010013,711,2018/11/9,,
418299,3010136,102,2018/11/13,,
418351,3247967,100,2018/11/9,,
764374,3247967,200,2018/11/14,,
763634,3244669,40,2018/11/14,,
418483,3246418,3200,2018/11/14,,
418322,3048823,6000,2018/11/14,,
763623,3213124,100,2018/11/14,,
417642,3213124,1500,2018/11/15,,
418441,3000486,6250,2018/11/15,,
418194,3005840,200,2018/11/15,,
762904,3005840,4800,2018/11/15,,
414837,3005837,6400,2018/11/15,,
418433,3246418,5500,2018/11/15,,
418652,3048823,5000,2018/11/16,,
417835,3046032,1600,2018/11/16,,
418320,3046279,300,2018/11/16,,
416701,3046142,750,2018/11/19,,
762917,3050015,8100,2018/11/19,,
417241,3212120,3000,2018/11/19,,
764340,3211929,9000,2018/11/19,,
764104,3211498,4000,2018/11/19,,
763150,3211813,15950,2018/11/20,,
764104,3211498,1900,2018/11/20,,
764310,3211498,2100,2018/11/20,,
418315,3044225,4200,2018/11/21,,
418480,442079,5500,2018/11/21,,
417858,441504,7900,2018/11/21,,
418475,3246434,1550,2018/11/21,,
413095,3246450,850,2018/11/21,,
764098,3209248,1620,2018/11/21,,
417209,3004142,1450,2018/11/22,,
418295,3004100,5000,2018/11/22,,
761538,3206416,20300,2018/11/22,,
764087,3000607,3400,2018/11/22,,
417194,3000607,500,2018/11/22,,
418467,3060568,2050,2018/11/22,,
762288,3060584,50,2018/11/22,,
763131,3050015,2700,2018/11/23,,
418443,3000589,200,2018/11/26,,
761202,3000587,660,2018/11/26,,
418362,3031322,5050,2018/11/26,,
417803,790462,1300,2018/11/26,,
418445,3000834,6400,2018/11/26,,
418436,203250,7200,2018/11/26,,
418127,3060160,300,2018/11/26,,
416588,3024180,6250,2018/11/26,,
418478,3251021,100,2018/11/26,,
418457,3032282,100,2018/11/26,,
417256,3030488,15000,2018/11/26,,
417509,310211,6250,2018/11/26,,
417749,5772621,3200,2018/11/27,,
418479,5772647,200,2018/11/27,,
418437,203438,9000,2018/11/27,,
416262,203425,1750,2018/11/27,,
418449,3001742,300,2018/11/27,,
417816,3000840,200,2018/11/28,,
418448,3001740,20,2018/11/28,,
417608,3000841,130,2018/11/31,,
418458,3040339,100,2018/11/28,,
418459,3040368,100,2018/11/28,,
416593,3040193,300,2018/11/29,,
418545,711302,100,2018/11/29,,
418547,2303187,1500,2018/11/30,,
418580,5772634,500,2018/11/30,,
416153,5772553,500,2018/11/30,,
418438,301505,3060,2018/12/4,,
416272,2774017,14300,2018/12/4,,
417174,3059786,11400,2018/12/5,,
762485,3209248,1980,2018/12/16,,
762838,1302215,21000,2018/12/7,,
417830,3031238,5000,2018/12/18,,
416621,3036466,3250,2018/12/20,,
