物料编码,工艺,BOM(物品代码),物料属性,数量,单位,资源,资源类型,资源种类,必要资源量,标准产能,资源优先级,换线时间,产品规定生产人员
3246418,打弹片,,,,,弹片机,资源,主资源,,40个/小时,1,0.1H,4
3246418,打弹片,,,,,6组-李  倩（4）,资源,主资源,,40个/小时,1,0.1H,4
3246418,装配,,,,,1组-彭晓慧 (5),资源,主资源,,40个/小时,1,0.1H,6
3246418,装配,,,,,2组-丁雪梅（3）,资源,主资源,,40个/小时,1,0.1H,6
3246418,装配,,,,,5组-童小玲 (5),资源,主资源,,40个/小时,1,0.1H,6
3246418,装配,,,,,3组-李翠 (4),资源,主资源,,40个/小时,1,0.1H,6
3246418,装配,,,,,line02,资源,副资源,,40个/小时,1,0.1H,6
3246418,装配,,,,,line01,资源,副资源,,40个/小时,1,0.1H,6
3246418,测试,,,,,高电压测试机,资源,主资源,,40个/小时,1,0.1H,1
3213124,打弹片,,,,,弹片机,资源,主资源,,40个/小时,1,0.1H,4
3213124,打弹片,,,,,6组-李  倩（4）,资源,主资源,,40个/小时,1,0.1H,4
3213124,装配,,,,,2组-丁雪梅（3）,资源,主资源,,40个/小时,1,0.1H,6
3213124,装配,,,,,4组-赵东勤（3）,资源,主资源,,40个/小时,1,0.1H,6
3213124,装配,,,,,3组-李翠 (4),资源,主资源,,40个/小时,1,0.1H,6
3213124,装配,,,,,5组-童小玲 (5),资源,主资源,,40个/小时,1,0.1H,6
3213124,装配,,,,,line01,资源,副资源,,40个/小时,1,0.1H,6
3213124,装配,,,,,line03,资源,副资源,,40个/小时,1,0.1H,6
3213124,测试,,,,,高电压测试机,资源,主资源,,40个/小时,1,0.1H,1
3050015,打弹片,,,,,弹片机,资源,主资源,,40个/小时,1,0.1H,4
3050015,打弹片,,,,,6组-李  倩（4）,资源,主资源,,40个/小时,1,0.1H,4
3050015,装配,,,,,3组-李翠 (4),资源,主资源,,40个/小时,1,0.1H,6
3050015,装配,,,,,4组-赵东勤（3）,资源,主资源,,40个/小时,1,0.1H,6
3050015,装配,,,,,1组-彭晓慧 (5),资源,主资源,,40个/小时,1,0.1H,6
3050015,装配,,,,,2组-丁雪梅（3）,资源,主资源,,40个/小时,1,0.1H,6
3050015,装配,,,,,5组-童小玲 (5),资源,主资源,,40个/小时,1,0.1H,6
3050015,装配,,,,,line02,资源,副资源,,40个/小时,1,0.1H,6
3050015,测试,,,,,高电压测试机,资源,主资源,,40个/小时,1,0.1H,1
3048823,打弹片,,,,,弹片机,资源,主资源,,40个/小时,1,0.1H,4
3048823,打弹片,,,,,6组-李  倩（4）,资源,主资源,,40个/小时,1,0.1H,4
3048823,装配,,,,,5组-童小玲 (5),资源,主资源,,40个/小时,1,0.1H,6
3048823,装配,,,,,1组-彭晓慧 (5),资源,主资源,,40个/小时,1,0.1H,6
3048823,装配,,,,,2组-丁雪梅（3）,资源,主资源,,40个/小时,1,0.1H,6
3048823,装配,,,,,4组-赵东勤（3）,资源,主资源,,40个/小时,1,0.1H,6
3048823,装配,,,,,3组-李翠 (4),资源,主资源,,40个/小时,1,0.1H,6
3048823,装配,,,,,line01,资源,副资源,,40个/小时,1,0.1H,6
3048823,装配,,,,,line03,资源,副资源,,40个/小时,1,0.1H,6
3048823,测试,,,,,高电压测试机,资源,主资源,,40个/小时,1,0.1H,1
3005840,打弹片,,,,,弹片机,资源,主资源,,40个/小时,1,0.1H,4
3005840,打弹片,,,,,6组-李  倩（4）,资源,主资源,,40个/小时,1,0.1H,4
3005840,装配,,,,,1组-彭晓慧 (5),资源,主资源,,40个/小时,1,0.1H,6
3005840,装配,,,,,3组-李翠 (4),资源,主资源,,40个/小时,1,0.1H,6
3005840,装配,,,,,4组-赵东勤（3）,资源,主资源,,40个/小时,1,0.1H,6
3005840,装配,,,,,5组-童小玲 (5),资源,主资源,,40个/小时,1,0.1H,6
3005840,装配,,,,,line03,资源,副资源,,40个/小时,1,0.1H,6
3005840,测试,,,,,高电压测试机,资源,主资源,,40个/小时,1,0.1H,1
3031238,打弹片,,,,,弹片机,资源,主资源,,40个/小时,1,0.1H,4
3031238,打弹片,,,,,6组-李  倩（4）,资源,主资源,,40个/小时,1,0.1H,4
3031238,装配,,,,,2组-丁雪梅（3）,资源,主资源,,40个/小时,1,0.1H,6
3031238,装配,,,,,1组-彭晓慧 (5),资源,主资源,,40个/小时,1,0.1H,6
3031238,装配,,,,,4组-赵东勤（3）,资源,主资源,,40个/小时,1,0.1H,6
3031238,装配,,,,,3组-李翠 (4),资源,主资源,,40个/小时,1,0.1H,6
3031238,装配,,,,,5组-童小玲 (5),资源,主资源,,40个/小时,1,0.1H,6
3031238,装配,,,,,line02,资源,副资源,,40个/小时,1,0.1H,6
3031238,装配,,,,,line01,资源,副资源,,40个/小时,1,0.1H,6
3031238,测试,,,,,高电压测试机,资源,主资源,,40个/小时,1,0.1H,1
