订单号,物料号码,订单数量,交期,备注,长度
418351,3247967,100,2018/11/9,,
764374,3247967,200,2018/11/14,,
418477,3246515,400,2018/11/9,,
418575,3246515,400,2018/11/9,,
418483,3246418,200,2018/11/14,,
418433,3246418,200,2018/11/15,,
763623,3213124,100,2018/11/14,,
417642,3213124,200,2018/11/15,,
764104,3211498,200,2018/11/16,,
764104,3211498,200,2018/11/16,,
764310,3211498,200,2018/11/15,,
764098,3209248,100,2018/11/14,,
762485,3209248,100,2018/11/16,,
417174,3059786,330,2018/11/15,,
762917,3050015,200,2018/11/15,,
763131,3050015,200,2018/11/10,,
418322,3048823,200,2018/11/14,,
418652,3048823,200,2018/11/16,,
416621,3036466,210,2018/11/12,,
417830,3031238,190,2018/11/9,,
418194,3005840,200,2018/11/15,,
762904,3005840,200,2018/11/15,,
414837,3005837,230,2018/11/15,,
764087,3000607,200,2018/11/12,,
417194,3000607,210,2018/11/13,,
418006,1413036,200,2018/11/9,,
764486,1413036,200,2018/11/9,,
762838,1302215,2800,2018/11/14,,
